Actual,Predicted
56.8535,56.853499999999535
49.3355,49.33549999999995
46.023,46.02299999999935
52.5135,52.51349999999921
50.646,50.64599999999895
56.3575,56.35749999999954
70.9595,70.95949999999922
47.085,47.08500000000054
53.8215,53.82149999999901
73.4005,73.40050000000016
47.461,47.46099999999983
75.097,75.0969999999993
73.2585,73.25850000000088
68.7505,68.75050000000078
46.844,46.84400000000011
51.7875,51.78749999999963
54.225,54.22499999999898
65.2535,65.25349999999978
72.5295,72.52949999999896
55.5315,55.53149999999925
67.0265,67.02649999999917
56.5805,56.58050000000099
77.9355,77.93549999999959
71.806,71.80600000000098
67.6715,67.67149999999955
64.104,64.10399999999899
86.332,86.33200000000085
55.8435,55.843499999999715
72.3095,72.30949999999959
63.33,63.32999999999912
68.899,68.89899999999975
70.964,70.96400000000011
58.5875,58.587499999999004
67.23,67.23000000000027
67.034,67.03399999999931
75.768,75.76800000000085
65.063,65.06299999999965
54.5635,54.56349999999981
52.4375,52.43750000000048
82.0035,82.0034999999991
82.6655,82.66550000000078
60.1645,60.164499999998974
66.857,66.85700000000026
61.858,61.85799999999988
56.6585,56.65849999999923
64.845,64.84499999999977
62.01,62.009999999999316
67.984,67.98399999999918
61.3155,61.31549999999913
73.909,73.90900000000016
57.7185,57.71850000000085
66.4555,66.45550000000082
70.9125,70.91250000000088
71.649,71.64900000000063
67.962,67.96200000000027
68.8995,68.89949999999894
65.0865,65.08650000000051
48.594,48.59400000000057
60.981,60.98099999999895
54.196,54.19600000000094
62.6825,62.68249999999926
62.257,62.256999999999934
46.113,46.112999999999154
69.3925,69.3925000000001
63.102,63.101999999999414
71.7495,71.74949999999927
49.2325,49.23250000000076
40.8875,40.88750000000071
63.1695,63.169500000000816
61.1655,61.165499999999184
57.1295,57.12949999999904
65.1725,65.17249999999981
74.7275,74.72749999999905
67.6685,67.66850000000062
73.964,73.96400000000057
52.239,52.239000000000054
66.0105,66.01050000000066
47.4005,47.400500000001
58.6545,58.654499999999764
52.668,52.66800000000038
63.7265,63.7264999999996
79.985,79.98499999999916
65.342,65.34200000000081
55.5645,55.56450000000077
75.5795,75.57950000000102
67.9355,67.93549999999942
76.015,76.01499999999902
67.15,67.14999999999964
68.4025,68.40249999999969
72.457,72.45700000000016
81.468,81.46799999999891
55.94,55.93999999999931
75.574,75.57399999999933
54.784,54.78400000000006
63.23,63.22999999999984
62.0455,62.04549999999996
55.2785,55.27849999999928
63.888,63.888000000001
83.5655,83.56549999999984
50.55,50.54999999999934
83.4425,83.44249999999943
54.1855,54.18550000000033
55.9425,55.94249999999928
64.4255,64.42549999999937
66.701,66.7010000000001
